num,LNN time,fold time
5,0.03895139694213867,0.06531453132629395
6,0.05356764793395996,0.09004592895507812
7,0.07226252555847168,0.11458230018615723
8,0.09022307395935059,0.2273256778717041
9,0.11397290229797363,0.17374825477600098
10,0.13965415954589844,0.202955961227417
11,0.1631457805633545,0.23437905311584473
12,0.19452404975891113,0.2724158763885498
13,0.22609996795654297,0.30716776847839355
14,0.31832051277160645,0.34832119941711426
15,0.30318212509155273,0.46062135696411133
16,0.3347179889678955,0.51228928565979
17,0.37975549697875977,0.4725534915924072
18,0.4887206554412842,0.5116045475006104
19,0.5377507209777832,0.5497679710388184
20,0.49788713455200195,0.6609039306640625
21,0.5518755912780762,0.7174229621887207
22,0.7111413478851318,0.7504069805145264
23,0.7696678638458252,0.8485851287841797
24,0.8159880638122559,0.9910163879394531
25,0.8103771209716797,1.076852798461914
26,0.9567689895629883,1.2090957164764404
27,1.0125744342803955,1.2301757335662842
28,1.0111892223358154,1.3738150596618652
29,1.1384832859039307,1.4844696521759033
30,1.2353520393371582,1.624098777770996
31,1.2429211139678955,1.7847375869750977
32,1.4025905132293701,1.8411140441894531
33,1.4668636322021484,1.9721348285675049
34,1.572584629058838,2.1559152603149414
35,1.626420021057129,2.3384015560150146
36,1.7566955089569092,2.4301271438598633
37,1.8279852867126465,2.5196473598480225
38,1.9286994934082031,2.6787753105163574
39,2.104621410369873,2.7054364681243896
40,2.133233070373535,2.9474687576293945
41,2.2527060508728027,3.1937685012817383
42,2.404688596725464,3.2556746006011963
43,2.5582101345062256,3.4475905895233154
44,2.6404380798339844,3.671591281890869
45,2.7360918521881104,3.8987624645233154
46,2.8633220195770264,4.102401971817017
47,2.8938302993774414,4.173122882843018
48,3.526695489883423,4.878876447677612
49,3.4978537559509277,5.260111570358276
50,3.898789405822754,5.354100227355957
