file_name,scheduling,placement,routing,codegen,total
qft 5 time,2.4080276489257812e-05,472.74124908447266,0.005750417709350586,0.07258248329162598,472.8804039955139
qft 6 time,3.337860107421875e-05,681.592503786087,0.006757974624633789,0.08099007606506348,681.8084959983826
qft 7 time,3.0279159545898438e-05,965.3672885894775,0.01052236557006836,0.1547551155090332,965.7312376499176
qft 8 time,4.00543212890625e-05,1235.936028957367,0.010523319244384766,0.10249209403991699,1236.398520708084
qft 9 time,4.5299530029296875e-05,1540.7394936084747,0.013036012649536133,0.11291289329528809,1541.407862663269
qft 10 time,4.839897155761719e-05,1845.6625154018402,0.01692795753479004,0.13348054885864258,1846.629162311554
qft 11 time,5.817413330078125e-05,2172.684518814087,0.016884326934814453,0.13250327110290527,2173.870450258255
qft 12 time,8.702278137207031e-05,3096.7062435150146,0.029101133346557617,0.20186591148376465,3096.938824892044
qft 13 time,8.702278137207031e-05,3724.0839607715607,0.02894449234008789,0.269456148147583,3724.3839144706726
qft 14 time,0.000102996826171875,4204.823236942291,0.035050153732299805,0.3134586811065674,4205.173588037491
qft 15 time,0.00018286705017089844,4773.588183641434,0.039398908615112305,0.3392219543457031,4773.968894004822
qft 16 time,0.00018358230590820312,5410.512590646744,0.046195030212402344,0.36917591094970703,5410.930238723755
qft 17 time,0.00013113021850585938,6121.882595300674,0.04880213737487793,0.48674702644348145,6122.420549154282
qft 18 time,0.0001404285430908203,6717.735268115997,0.05219912528991699,0.4992098808288574,6718.289056062698
qft 19 time,0.00016546249389648438,7634.071976423264,0.05626320838928223,0.5158202648162842,7634.646688461304
qft 20 time,0.0001850128173828125,8367.64600944519,0.062195539474487305,0.557929515838623,8368.268875360489
qft 21 time,0.0001919269561767578,8951.123885631561,0.06474781036376953,0.6238772869110107,8951.815205335617
qft 22 time,0.00021409988403320312,9805.609968662262,0.07302999496459961,0.679344654083252,9806.365322113037
qft 23 time,0.00023603439331054688,11018.235450744629,0.0835716724395752,0.7789475917816162,11019.101124763489
qft 24 time,0.00028204917907714844,12089.631750106812,0.1522517204284668,0.8496146202087402,12090.637058973312
qft 25 time,0.0002677440643310547,12638.422062158585,0.09734034538269043,0.8932867050170898,12639.416066408157
qft 26 time,0.000286102294921875,13484.652979135513,0.12514376640319824,1.1922852993011475,13485.974677324295
qft 27 time,0.0003104209899902344,14386.245877742767,0.11429858207702637,1.0825679302215576,14387.447041988373
qft 28 time,0.00032258033752441406,15862.191831588745,0.11876869201660156,1.172884225845337,15863.487463474274
qft 29 time,0.00035834312438964844,16758.982476234436,0.13319873809814453,1.3540151119232178,16760.47384572029
qft 30 time,0.0016667842864990234,18564.161388874054,0.14288783073425293,1.3392682075500488,18565.649504184723
qft 31 time,0.00040411949157714844,19738.060356378555,0.14142870903015137,1.3791453838348389,19739.585341453552
qft 32 time,0.00041961669921875,20824.394777297974,0.16699934005737305,1.5448219776153564,20826.111656188965
qft 33 time,0.00044274330139160156,22624.79656791687,0.16834354400634766,1.7877230644226074,22626.75757575035
qft 34 time,0.0004889965057373047,23312.932135105133,0.16706132888793945,1.7274558544158936,23314.831569194794
qft 35 time,0.05507063865661621,24492.104643821716,0.17843914031982422,1.7807552814483643,24494.12356710434
qft 36 time,0.04345989227294922,24787.846361398697,0.19309568405151367,2.2025675773620605,24790.290286540985
qft 37 time,0.0005824565887451172,26789.8767015934,0.19888973236083984,2.2610244750976562,26792.342123031616
qft 38 time,0.0006017684936523438,27964.891835451126,0.2857856750488281,2.642052412033081,27967.825999975204
qft 39 time,0.0006620883941650391,30259.081671714783,0.23223090171813965,2.2856662273406982,30261.605459928513
qft 40 time,0.0007011890411376953,30901.302039146423,0.2405860424041748,2.4289703369140625,30903.977667808533
qft 41 time,0.0006835460662841797,33250.22513651848,0.3009328842163086,2.731320381164551,33253.264323711395
qft 42 time,0.0007281303405761719,35546.333747148514,0.30336880683898926,3.278477907180786,35549.922486782074
qft 43 time,0.0008020401000976562,36304.348358392715,0.29099011421203613,3.0306236743927,36307.67685008049
qft 44 time,0.0008287429809570312,38358.703037023544,0.29578447341918945,2.9409775733947754,38361.947113990784
qft 45 time,0.0008027553558349609,40149.67088389397,0.44492650032043457,4.257833480834961,40154.38159608841
qft 46 time,0.0008499622344970703,41833.008392095566,0.454179048538208,4.6092071533203125,41838.07950043678
qft 47 time,0.0009229183197021484,43560.50893712044,0.3849177360534668,3.7367846965789795,43564.63816547394
qft 48 time,0.0009307861328125,45242.20793366432,0.3840913772583008,3.911794900894165,45246.51130080223
qft 49 time,0.0009508132934570312,46022.78000283241,0.3953976631164551,3.7253522872924805,46026.90823054314
qft 50 time,0.0010576248168945312,47838.88113927841,0.47191715240478516,4.482997179031372,47843.844125032425
