file_name,scheduling,placement,routing,codegen,total
qft 5 time,2.9325485229492188e-05,47.12584447860718,0.0024611949920654297,0.06543183326721191,47.253477334976196
qft 6 time,3.743171691894531e-05,56.94825339317322,0.005040645599365234,0.09407687187194824,57.17511177062988
qft 7 time,3.314018249511719e-05,66.60209369659424,0.006105899810791016,0.1438741683959961,66.97134590148926
qft 8 time,6.508827209472656e-05,78.31611180305481,0.007325887680053711,0.160536527633667,78.84897589683533
qft 9 time,5.1975250244140625e-05,86.5081627368927,0.00555872917175293,0.10519075393676758,87.1689772605896
qft 10 time,5.3882598876953125e-05,99.52464699745178,0.010349035263061523,0.1772172451019287,100.51191401481628
qft 11 time,6.461143493652344e-05,122.8656587600708,0.008634805679321289,0.13606023788452148,123.01139545440674
qft 12 time,7.367134094238281e-05,133.18511939048767,0.009467840194702148,0.1842966079711914,133.38011527061462
qft 13 time,8.869171142578125e-05,147.32911372184753,0.01548147201538086,0.26621413230895996,147.61233925819397
qft 14 time,9.465217590332031e-05,159.7937409877777,0.014194726943969727,0.2258141040802002,160.035231590271
qft 15 time,0.00017213821411132812,176.76456212997437,0.01750040054321289,0.2535891532897949,177.03732705116272
qft 16 time,0.0001900196075439453,183.66125392913818,0.01938915252685547,0.31023359298706055,183.99271082878113
qft 17 time,0.00012683868408203125,192.543799161911,0.0212404727935791,0.3360722064971924,192.90297508239746
qft 18 time,0.00014090538024902344,204.205628156662,0.026058673858642578,0.42534637451171875,204.65903759002686
qft 19 time,0.0001556873321533203,218.82277846336365,0.028704166412353516,0.44893383979797363,219.3025119304657
qft 20 time,0.0001742839813232422,239.1255223751068,0.032131195068359375,0.4821312427520752,239.64212226867676
qft 21 time,0.0002002716064453125,254.65188574790955,0.036586761474609375,0.5108931064605713,255.20188188552856
qft 22 time,0.00020766258239746094,264.31304359436035,0.04369354248046875,0.6147184371948242,264.974161863327
qft 23 time,0.00022602081298828125,278.0004744529724,0.04998207092285156,0.649273157119751,278.70259499549866
qft 24 time,0.00027751922607421875,302.43434596061707,0.10521078109741211,0.6961166858673096,303.23870730400085
qft 25 time,0.0002613067626953125,296.8072774410248,0.06105804443359375,0.8442740440368652,297.7158088684082
qft 26 time,0.0002892017364501953,318.0962176322937,0.06686782836914062,0.8060157299041748,318.97242999076843
qft 27 time,0.0003108978271484375,330.8549768924713,0.07191872596740723,0.927715539932251,331.8580493927002
qft 28 time,0.0003371238708496094,340.3680307865143,0.08416080474853516,1.0174040794372559,341.4729619026184
qft 29 time,0.00035071372985839844,350.76579427719116,0.09072375297546387,1.1235733032226562,351.9836702346802
qft 30 time,0.0011644363403320312,368.86737155914307,0.09576725959777832,1.193122148513794,370.16070580482483
qft 31 time,0.0004019737243652344,385.5205376148224,0.1087644100189209,1.3142399787902832,386.9475452899933
qft 32 time,0.0004229545593261719,402.8411066532135,0.1193704605102539,1.377753496170044,404.3422124385834
qft 33 time,0.0004482269287109375,421.65215969085693,0.1305544376373291,1.5596177577972412,423.3466136455536
qft 34 time,0.0004916191101074219,428.3416404724121,0.14240097999572754,1.6472671031951904,430.1355323791504
qft 35 time,0.05943489074707031,439.31723260879517,0.15402579307556152,1.7421746253967285,441.27685356140137
qft 36 time,0.03316521644592285,424.2800540924072,0.15202093124389648,1.759314775466919,426.2285861968994
qft 37 time,0.0005369186401367188,439.2287163734436,0.17209386825561523,1.972121238708496,441.3777415752411
qft 38 time,0.0005698204040527344,457.8601667881012,0.18796682357788086,2.06465220451355,460.1177544593811
qft 39 time,0.0006349086761474609,470.3630554676056,0.1997077465057373,2.096752643585205,472.66450357437134
qft 40 time,0.0006296634674072266,501.86923813819885,0.22310233116149902,2.316917896270752,504.41437125205994
qft 41 time,0.0006630420684814453,514.5780982971191,0.23488306999206543,2.430866003036499,517.2491819858551
qft 42 time,0.0007054805755615234,524.1717474460602,0.25353002548217773,2.7137365341186523,527.1446287631989
qft 43 time,0.0007884502410888672,571.7023937702179,0.2736814022064209,2.7517569065093994,574.7334930896759
qft 44 time,0.0008027553558349609,567.9221951961517,0.2885129451751709,2.856781244277954,571.0732507705688
qft 45 time,0.0007808208465576172,577.5518100261688,0.30738282203674316,3.239363431930542,581.1045994758606
qft 46 time,0.0008001327514648438,590.8673796653748,0.34398484230041504,3.2771196365356445,594.494651556015
qft 47 time,0.0009210109710693359,604.4053814411163,0.35529184341430664,3.3019297122955322,608.0689132213593
qft 48 time,0.0009293556213378906,626.815639257431,0.37334203720092773,3.638636827468872,630.834235906601
qft 49 time,0.0013744831085205078,610.7606780529022,0.4011721611022949,3.7227327823638916,614.891500711441
qft 50 time,0.0010046958923339844,618.7162637710571,0.5661523342132568,3.9927992820739746,623.2822380065918
