file_name,index,movement_time_ratio
qft 12,0,0.7997869344967244
qft 12,1,0.7922843684487367
qft 12,2,0.8041382584375416
qft 12,3,0.8063317242122816
qft 12,4,0.7976288841719403
qft 12,5,0.8008703446776606
qft 12,6,0.7997869344967243
qft 12,7,0.8030459946384816
qft 12,8,0.7976288841719401
qft 12,9,0.8019566940659107
qft 12,10,0.8052334975708655
qft 12,11,0.8014131512238303
qft 7,0,0.8012873080900197
qft 7,1,0.7914577641619155
qft 7,2,0.804618305369604
qft 7,3,0.8113640793605698
qft 7,4,0.7979837767488063
qft 7,5,0.8147795614202745
qft 7,6,0.8096670539147188
qft 13,0,0.79586244338364
qft 13,1,0.7958624433836401
qft 13,2,0.7931601273269274
qft 13,3,0.8087206554574289
qft 13,4,0.7967673119914938
qft 13,5,0.8013226956389602
qft 13,6,0.7985832361053088
qft 13,7,0.7949596277173766
qft 13,8,0.8013226956389601
qft 13,9,0.7931601273269274
qft 13,10,0.8050046791706007
qft 13,11,0.8040810147497233
qft 13,12,0.8045425818543427
qft 8,0,0.796436244628023
qft 8,1,0.7987674288212802
qft 8,2,0.7987674288212799
qft 8,3,0.8082302507242716
qft 8,4,0.8011122999182319
qft 8,5,0.8058435878240019
qft 8,6,0.8106310927538085
qft 8,7,0.8070351547452586
qft 17,0,0.7925798699571117
qft 17,1,0.7925798699571115
qft 17,2,0.7947033801465544
qft 17,3,0.8006021404930377
qft 17,4,0.7947033801465544
qft 17,5,0.7979100667301774
qft 17,6,0.7952360368197837
qft 17,7,0.7963034951475131
qft 17,8,0.7952360368197839
qft 17,9,0.7952360368197837
qft 17,10,0.7968382996831904
qft 17,11,0.7947033801465547
qft 17,12,0.7973738230606487
qft 17,13,0.7920507644094323
qft 17,14,0.8000622734717099
qft 17,15,0.8016840632423541
qft 17,16,0.7992538367345989
qft 10,0,0.7948857082946268
qft 10,1,0.7980184353017993
qft 10,2,0.8011759528149336
qft 10,3,0.8108002263952604
qft 10,4,0.8011759528149336
qft 10,5,0.8027641001515207
qft 10,6,0.7995940768898346
qft 10,7,0.8108002263952604
qft 10,8,0.8156995971607297
qft 10,9,0.8083725454019534
qft 6,0,0.7882598467660934
qft 6,1,0.804991029483618
qft 6,2,0.804991029483618
qft 6,3,0.813625823179607
qft 6,4,0.8224478689088486
qft 6,5,0.8202244703944724
qft 11,0,0.795920910882212
qft 11,1,0.7934345630449638
qft 11,2,0.7996797881818216
qft 11,3,0.806024107234544
qft 11,4,0.795920910882212
qft 11,5,0.7984228904016587
qft 11,6,0.8034743378766094
qft 11,7,0.7934345630449638
qft 11,8,0.8009406494828684
qft 11,9,0.8060241072345439
qft 11,10,0.8028394141444423
qft 18,0,0.7942873080193197
qft 18,1,0.7952308643674386
qft 18,2,0.7990276143354512
qft 18,3,0.801899054264139
qft 18,4,0.7957034836990613
qft 18,5,0.8009396172533744
qft 18,6,0.799027614335451
qft 18,7,0.8009396172533744
qft 18,8,0.7999824733475281
qft 18,9,0.7975995921275671
qft 18,10,0.79807503204515
qft 18,11,0.7985510391093048
qft 18,12,0.8004607591764538
qft 18,13,0.8018990542641392
qft 18,14,0.79807503204515
qft 18,15,0.8023796352606148
qft 18,16,0.8047912066297314
qft 18,17,0.8021392727804655
qft 15,0,0.7935656440826288
qft 15,1,0.7955206773999861
qft 15,2,0.7961744975683961
qft 15,3,0.80410500270635
qft 15,4,0.7955206773999861
qft 15,5,0.8014440048899278
qft 15,6,0.8007815050207815
qft 15,7,0.7981424223294034
qft 15,8,0.8007815050207812
qft 15,9,0.7988005608855759
qft 15,10,0.8021076018610646
qft 15,11,0.7968293933403714
qft 15,12,0.8034380980282189
qft 15,13,0.8034380980282195
qft 15,14,0.80111261798772
qft 9,0,0.8027008264175594
qft 9,1,0.8027008264175594
qft 9,2,0.8027008264175594
qft 9,3,0.8067691943489798
qft 9,4,0.8067691943489798
qft 9,5,0.8006819906978528
qft 9,6,0.8006819906978528
qft 9,7,0.8108790121800369
qft 9,8,0.8077927382283693
qft 5,0,0.7904056382888459
qft 5,1,0.8199732547980262
qft 5,2,0.8199732547980262
qft 5,3,0.8356024272934556
qft 5,4,0.8316395425929034
qft 16,0,0.7939798702982717
qft 16,1,0.7915925473445686
qft 16,2,0.7939798702982717
qft 16,3,0.8006198773272049
qft 16,4,0.7951789397827007
qft 16,5,0.7987979771707238
qft 16,6,0.7981925183609164
qft 16,7,0.7975879766859469
qft 16,8,0.7957798336784927
qft 16,9,0.7957798336784927
qft 16,10,0.7957798336784927
qft 16,11,0.7951789397827007
qft 16,12,0.794578952672976
qft 16,13,0.7975879766859469
qft 16,14,0.7994043552039968
qft 16,15,0.7978901330118688
qft 14,0,0.7953481282307113
qft 14,1,0.7930405845338319
qft 14,2,0.8000037375857638
qft 14,3,0.8031378756018354
qft 14,4,0.7961202965190343
qft 14,5,0.8000037375857638
qft 14,6,0.7992240214047267
qft 14,7,0.8015677429776402
qft 14,8,0.7968939655924188
qft 14,9,0.8007849766214797
qft 14,10,0.7938082765754778
qft 14,11,0.8023520411374895
qft 14,12,0.8047141715355846
qft 14,13,0.8019597003012159
