num,LNN time,fold time
5,0.03119373321533203,0.052222490310668945
6,0.04305839538574219,0.07245826721191406
7,0.056130409240722656,0.09451460838317871
8,0.07191634178161621,0.1156013011932373
9,0.0956122875213623,0.22716212272644043
10,0.11143660545349121,0.16607308387756348
11,0.1325840950012207,0.19597792625427246
12,0.15852952003479004,0.22316455841064453
13,0.3182516098022461,0.2580106258392334
14,0.226485013961792,0.2977159023284912
15,0.25409698486328125,0.41444945335388184
16,0.2743709087371826,0.36046552658081055
17,0.3063170909881592,0.4879333972930908
18,0.34584879875183105,0.44030237197875977
19,0.47203564643859863,0.47692108154296875
20,0.4201695919036865,0.5977113246917725
21,0.4642319679260254,0.6528739929199219
22,0.5072863101959229,0.6315779685974121
23,0.6227686405181885,0.7132141590118408
24,0.6908199787139893,0.7774796485900879
25,0.7240638732910156,0.8593590259552002
26,0.7107393741607666,1.0153584480285645
27,0.7600641250610352,1.1257431507110596
28,0.9215638637542725,1.1157333850860596
29,0.9550352096557617,1.305985450744629
30,0.9622640609741211,1.4138388633728027
31,1.0965499877929688,1.4908936023712158
32,1.0923242568969727,1.606471061706543
33,1.206106185913086,1.712284803390503
34,1.282625675201416,1.7830159664154053
35,1.3544573783874512,1.9208459854125977
36,1.4288644790649414,2.0191917419433594
37,1.5412213802337646,2.254625082015991
38,1.5842945575714111,2.2573139667510986
39,1.662790298461914,2.3873469829559326
40,1.6816389560699463,2.53957200050354
41,1.8287675380706787,2.657606601715088
42,1.980163335800171,2.7973692417144775
43,2.0483338832855225,3.070953369140625
44,2.098179340362549,3.2495017051696777
45,2.4381744861602783,3.8629956245422363
46,2.733356475830078,3.8120691776275635
47,2.623340129852295,6.409709215164185
48,2.806884765625,4.068636417388916
49,2.6012210845947266,4.248603105545044
50,2.7020933628082275,4.481031656265259
