file_name,cir_fidelity,cir_fidelity_2q_gate,cir_fidelity_2q_gate_for_idle,cir_fidelity_atom_transfer,cir_fidelity_coherence,num_two_qubit_gate,num_gate_stage,num_transfer,num_movement_stage,big_movement_stage,movement_distance
qaoa 5 4 full code fidelity,0.8743043178901434,0.951110130465772,0.9631491936532696,0.9626946373158064,0.9914017879460156,10,7,38,52,13,16.99999999999999
qaoa 6 5 full code fidelity,0.8131313257046779,0.927568968818328,0.9416937859599952,0.943622563728061,0.9865212841724372,15,9,58,68,17,22.263157894736832
qaoa 7 6 full code fidelity,0.7449099260553151,0.9000874278732449,0.9161184983773688,0.9212341621210598,0.9806123953639782,21,11,82,84,21,27.526315789473674
qaoa 8 7 full code fidelity,0.6721890836183677,0.8690529955452604,0.8867871865156692,0.8957848329039136,0.9736930727482463,28,13,110,100,25,32.78947368421052
qaoa 9 8 full code fidelity,0.5974800365877869,0.8348931673187264,0.8541083636346185,0.8675596164681796,0.965784407282368,36,15,142,116,29,38.05263157894738
qaoa 10 9 full code fidelity,0.5231174613128461,0.7980656776819051,0.8185257542796962,0.8368678892362574,0.956910522484329,45,17,178,132,33,43.31578947368425
qaoa 11 10 full code fidelity,0.4511474764463697,0.7590483508202912,0.7805083103656367,0.8040377382995528,0.947098451682649,55,19,218,148,37,48.57894736842111
qaoa 12 11 full code fidelity,0.3832489460739416,0.7183288830986236,0.7405400022240317,0.7694101571203793,0.9363780005594784,66,21,262,164,41,53.842105263157976
qaoa 13 12 full code fidelity,0.3206905406529789,0.6763948591909946,0.6991096925806228,0.7333332049215049,0.9247815959669328,78,23,310,180,45,59.10526315789484
qaoa 14 13 full code fidelity,0.2643222340641893,0.6337242817644088,0.6567013850745562,0.6961562680720448,0.9123441220921882,91,25,362,196,49,64.3684210526317
qaoa 15 14 full code fidelity,0.2145967944465243,0.5907768628656765,0.6137851120094343,0.6582245533155794,0.8991027451327349,105,27,418,212,53,69.63157894736858
qaoa 16 15 full code fidelity,0.1716146555578354,0.5479862854900422,0.5708086902226912,0.6198739305429285,0.8850967277184808,120,29,478,228,57,74.89473684210546
qaoa 17 16 full code fidelity,0.1351844519526659,0.5057535983897913,0.528190531306986,0.5814262275775876,0.8703672343813542,136,31,542,244,61,80.15789473684234
qaoa 18 17 full code fidelity,0.1048914201548513,0.464441858330825,0.4863136451636364,0.5431850617989287,0.8549571294253795,153,33,610,260,65,85.42105263157922
qaoa 19 18 full code fidelity,0.080166635054552,0.4243720840628101,0.4455209263477351,0.5054322741177131,0.8389107685903214,171,35,682,276,69,90.6842105263161
qaoa 20 19 full code fidelity,0.0603514114286525,0.3858205374665315,0.406111763168437,0.4684250106057246,0.8222737859297164,190,37,758,292,73,95.94736842105296
qaoa 21 20 full code fidelity,0.044752872241273,0.3490173016974101,0.3683399621661079,0.4323934767218803,0.8050928773394322,210,39,838,308,77,101.21052631578983
qaoa 22 21 full code fidelity,0.0326884041852503,0.3141460853680821,0.3324129372693024,0.3975393692856662,0.7874155821756639,231,41,922,324,81,106.47368421052671
qaoa 23 22 full code fidelity,0.0235182750734192,0.2813451472456286,0.298492075168479,0.3640349727710417,0.7692900643917614,253,43,1010,340,85,111.7368421052636
qaoa 24 23 full code fidelity,0.0166669360598805,0.2507092085103959,0.2666941573677828,0.332022889684616,0.7507648946018004,276,45,1102,356,89,117.00000000000048
qaoa 25 24 full code fidelity,0.0116344068401127,0.2222921998407468,0.2370936957116225,0.3016163601974341,0.7318888344455805,300,47,1198,372,93,122.26315789473736
qaoa 26 25 full code fidelity,0.0079996412758997,0.1961106785491272,0.2097260222323098,0.2729001141476582,0.7127106245855659,325,49,1298,388,97,127.52631578947424
qaoa 27 26 full code fidelity,0.0054179398938707,0.1721477464220929,0.1845909658386273,0.245931689226184,0.6932787776115231,351,51,1402,404,101,132.78947368421112
qaoa 28 27 full code fidelity,0.0036143888288716,0.1503573012105383,0.1616569472229855,0.2207431426814747,0.6736413770642449,378,53,1510,420,105,138.052631578948
qaoa 29 28 full code fidelity,0.0023750469118723,0.1306684630191193,0.1408653286765582,0.1973430802016054,0.6538458837163459,406,55,1622,436,109,143.31578947368487
qaoa 30 29 full code fidelity,0.0015372544497419,0.1129900301140103,0.1221348663154563,0.1757189246155832,0.6339389501668352,435,57,1738,452,113,148.57894736842175
qaoa 31 30 full code fidelity,0.0009800656858084,0.09721483575406,0.1053661274372885,0.1558393484794699,0.613966244717805,465,59,1858,468,117,153.84210526315863
qaoa 32 31 full code fidelity,0.0006154603501724,0.0832238973628649,0.0904457541728798,0.1376567981825582,0.5939722854071103,496,61,1982,484,121,159.1052631578955
qaoa 33 32 full code fidelity,0.0003806975287135,0.0708902705368767,0.0772504750942974,0.1211100425808207,0.5740002849716312,528,63,2110,500,125,164.3684210526324
qaoa 34 33 full code fidelity,0.0002319501880856,0.0600825419495288,0.0656507878651536,0.1061266859635712,0.5540920074124117,561,65,2242,516,129,169.63157894736926
qaoa 35 34 full code fidelity,0.0001392014324287,0.0506679162130273,0.0555142573557788,0.0926255929968038,0.5342876367269703,595,67,2378,532,133,174.89473684210614
qaoa 36 35 full code fidelity,8.228612166485793e-05,0.042514871405562,0.0467083940206184,0.0805191817798224,0.5146256582663037,630,69,2518,548,137,180.15789473684305
qaoa 37 36 full code fidelity,4.79118572272865e-05,0.035495375645938,0.0391030960420908,0.0697155499374983,0.495142753065803,666,71,2662,564,141,185.4210526315799
qaoa 38 37 full code fidelity,2.747847017984805e-05,0.0294866723652141,0.0325726552572274,0.0601204074182457,0.4758737053914069,703,73,2810,580,145,190.6842105263168
qaoa 39 38 full code fidelity,1.55229706091214e-05,0.0243726545273685,0.026997340853241,0.0516387980893346,0.4568513236358277,741,75,2962,596,149,195.94736842105365
qaoa 40 39 full code fidelity,8.637527995338115e-06,0.0200448578919397,0.0222645860678494,0.044176600076762,0.4381063745957332,780,77,3118,612,153,201.21052631579053
qaoa 41 40 full code fidelity,4.73408504903476e-06,0.0164031105360144,0.0182698116339966,0.0376418018992177,0.4196675310601091,820,79,3278,628,157,206.4736842105274
qaoa 42 41 full code fidelity,2.5557254952202216e-06,0.0133558804219847,0.0149169255698944,0.0319455576602129,0.4015613325434987,861,81,3442,644,161,211.7368421052643
qaoa 43 42 full code fidelity,1.3590127226966332e-06,0.0108203650610921,0.0121185423400955,0.0270030298059959,0.3838121589063783,903,83,3610,660,165,217.0000000000012
qaoa 44 43 full code fidelity,7.118092257276044e-07,0.008722367591976,0.0097959656828037,0.0227340321937468,0.3664422165190585,946,85,3782,676,169,222.26315789473804
qaoa 45 44 full code fidelity,3.672265566386049e-07,0.0069960022143528,0.0078789788422293,0.019063489451223,0.3494715365458883,990,87,3958,692,173,227.5263157894749
