file_name,cir_fidelity,cir_fidelity_1q_gate,cir_fidelity_2q_gate,cir_fidelity_2q_gate_for_idle,cir_fidelity_atom_transfer,cir_fidelity_coherence,cir_fidelity_coherence_big,num_two_qubit_gate,num_gate_stage,num_transfer,num_movement_stage,num_big_move,num_offset_move,total_move_dis,bigmov_dis,offset_dis,average_movement
qft 5 full code fidelity,0.7964756997099486,1,0.904610480274618,0.9276563692349433,0.9607702107358118,0.9878801417828349,0.9992977697169048,20,14,40,68,14,54,18.10526315789472,11.473684210526315,6.631578947368424,38.510494996442354
qft 6 full code fidelity,0.704821674257004,1,0.8603841919146966,0.8867871865156691,0.9417362622231684,0.9809302456554971,0.9990975938479352,30,18,60,90,18,72,23.578947368421034,14.736842105263154,8.842105263157896,38.23074305464084
qft 7 full code fidelity,0.607959857921707,1,0.8101573778154735,0.8392731030692049,0.9193926150309798,0.9725259476352082,0.9988974179789655,42,22,84,112,22,90,29.05263157894735,17.999999999999993,11.052631578947357,38.0608936614042
qft 8 full code fidelity,0.5111621823215173,1,0.7552531090661903,0.786391514168376,0.8939941590229388,0.9627038178040906,0.9986972421099958,56,26,112,134,26,108,34.52631578947368,21.263157894736835,13.26315789473682,37.94681571072288
qft 9 full code fidelity,0.418918852122328,1,0.6970466008354952,0.7295010968306057,0.8658253647948598,0.9515066708862789,0.9984970662410262,72,30,144,156,30,126,40.00000000000002,24.526315789473678,15.473684210526281,37.864913592285006
qft 10 full code fidelity,0.3346475830135706,1,0.6369088258938784,0.6699844104191454,0.8351949903256742,0.938983254910284,0.9982968903720565,90,34,180,178,34,144,45.473684210526365,27.78947368421052,17.684210526315752,37.803256941326154
qft 11 full code fidelity,0.2605741306840395,1,0.5761543988830041,0.6091932225498211,0.8024304668606925,0.9251878968749021,0.9980967145030868,110,38,220,200,38,162,50.94736842105271,31.052631578947363,19.894736842105225,37.755164753578256
qft 12 full code fidelity,0.19776978274615306,1,0.515996384293716,0.5483994948939686,0.7678721062162956,0.9101801090300424,0.9978965386341172,132,42,264,222,42,180,56.42105263157905,34.31578947368421,22.105263157894697,37.716604350789396
qft 13 full code fidelity,0.14630960055136716,1,0.4575100055400053,0.4887543622601732,0.7318672718448663,0.8940241597762261,0.9976963627651475,156,46,312,244,46,198,61.894736842105395,37.57894736842106,24.31578947368417,37.684997463257545
qft 14 full code fidelity,0.10550406079405837,1,0.4016064652978159,0.4312567091588406,0.6947646516921685,0.8767886135263656,0.9974961868961778,182,50,364,266,50,216,67.36842105263175,40.84210526315791,26.526315789473642,37.65861878268585
qft 15 full code fidelity,0.07415632545099322,1,0.3490173016974103,0.37673216372443347,0.6569087624335018,0.8585458441566797,0.9972960110272082,210,54,420,288,54,234,72.8421052631581,44.10526315789476,28.736842105263115,37.636270178312614
qft 16 full code fidelity,0.05080531088273816,1,0.30028896908517405,0.32582256083374433,0.6186348025557732,0.8393715268967794,0.9970958351582385,240,58,480,310,58,252,78.31578947368446,47.36842105263161,30.947368421052587,37.617093633914926
qft 17 full code fidelity,0.0339274421581711,1,0.2557867022842223,0.27898523736235625,0.5802639565486608,0.8193441136697943,0.9968956592892688,272,62,544,332,62,270,83.78947368421082,50.63157894736846,33.157894736842074,37.60045855925669
qft 18 full code fidelity,0.02208378068830475,1,0.21570623976979011,0.23650096147234326,0.5420992348603934,0.7985442969904729,0.9966954834202992,306,66,612,354,66,288,89.26315789473718,53.89473684210531,35.36842105263157,37.585891120996656
qft 19 full code fidelity,0.014011196990670051,1,0.18009166573181268,0.19848889581374413,0.5044219150017524,0.7770544675621063,0.9964953075513295,342,70,684,376,70,306,94.73684210526353,57.15789473684216,37.57894736842106,37.57302838295854
