degree,LNN time 1,zigzag time
49,1.459287166595459,2.3144948482513428
48,1.5846073627471924,2.4453318119049072
47,1.9559962749481201,2.790983200073242
46,2.223109483718872,2.786724328994751
45,1.858672857284546,2.8538522720336914
44,1.913806438446045,3.0927207469940186
43,2.096011161804199,2.954108476638794
42,1.9152007102966309,2.901488780975342
41,1.8619554042816162,3.0444095134735107
40,1.9200425148010254,2.9074578285217285
39,1.9049656391143799,3.0193722248077393
38,1.9303724765777588,3.0082969665527344
37,1.9306879043579102,3.0088372230529785
36,1.9503800868988037,3.134936809539795
35,2.098745822906494,3.191765069961548
34,2.076298952102661,3.3230528831481934
33,2.238934278488159,3.35170841217041
32,2.2272210121154785,3.3462162017822266
31,2.1380882263183594,3.2322206497192383
30,2.115176200866699,3.282971143722534
29,2.113154172897339,3.3832337856292725
28,2.0432045459747314,3.097442865371704
27,1.966897964477539,3.072096109390259
26,1.9331121444702148,3.045003890991211
25,1.9102566242218018,2.963291645050049
24,1.9538297653198242,3.106046199798584
23,1.9357998371124268,3.0729711055755615
22,2.1118905544281006,3.28358793258667
21,2.153937339782715,3.4064877033233643
20,2.2858383655548096,3.0766499042510986
19,1.8804035186767578,2.944377899169922
18,1.9264600276947021,3.0449225902557373
17,2.377995491027832,3.5121078491210938
16,2.081589937210083,3.2892518043518066
15,2.062784433364868,3.439828634262085
14,2.178678035736084,3.3870487213134766
13,1.948251485824585,3.228773832321167
12,1.9768319129943848,3.2503020763397217
11,2.1061151027679443,3.0798258781433105
10,1.9316518306732178,3.0189120769500732
9,1.9195964336395264,3.2076499462127686
8,1.774843692779541,3.0418829917907715
7,1.621525526046753,2.8023316860198975
6,1.487095832824707,2.5639891624450684
5,1.6803655624389648,2.773054838180542
4,1.213866949081421,2.533569097518921
3,1.2424273490905762,2.311728000640869
2,1.0214333534240723,2.0346732139587402
1,0.6284537315368652,1.6777980327606201
