prob,i,LNN time 1,zigzag time
95,0,1.3516380786895752,1.5313794612884521
95,1,1.348963975906372,1.522392749786377
95,2,1.2961411476135254,1.5494680404663086
95,3,1.253821611404419,1.5062732696533203
95,4,1.256187915802002,1.5222268104553223
95,5,1.266552209854126,1.5093605518341064
95,6,1.247387170791626,1.5178911685943604
95,7,1.1631309986114502,1.5085783004760742
95,8,1.3851332664489746,1.6075150966644287
95,9,1.2328813076019287,1.5172955989837646
90,0,1.405876636505127,1.6934051513671875
90,1,1.497697114944458,1.714320182800293
90,2,1.4292149543762207,1.7442171573638916
90,3,1.4385912418365479,1.6801011562347412
90,4,1.4214072227478027,1.6921534538269043
90,5,1.4123094081878662,1.6907289028167725
90,6,1.4769463539123535,1.7293674945831299
90,7,1.3932220935821533,1.6887075901031494
90,8,1.4277865886688232,1.641611099243164
90,9,1.409454345703125,1.7619304656982422
85,0,1.4928884506225586,1.8165640830993652
85,1,1.5053515434265137,1.8366634845733643
85,2,1.535825252532959,1.8030860424041748
85,3,1.4529163837432861,1.7626304626464844
85,4,1.5443298816680908,1.862534761428833
85,5,1.5366151332855225,1.8013689517974854
85,6,1.4678490161895752,1.7953109741210938
85,7,1.5113568305969238,1.8786895275115967
85,8,1.500819206237793,1.7936439514160156
85,9,1.518439531326294,1.759373664855957
80,0,1.5172843933105469,1.9681079387664795
80,1,1.542079210281372,1.9164800643920898
80,2,1.4544706344604492,1.846569299697876
80,3,1.529026985168457,1.9168665409088135
80,4,1.5478191375732422,1.9516258239746094
80,5,1.6408371925354004,1.8752925395965576
80,6,1.677844762802124,2.133164882659912
80,7,1.970750331878662,2.1983814239501953
80,8,1.9115610122680664,2.4809248447418213
80,9,2.0133652687072754,2.1831214427948
75,0,1.8864386081695557,2.4243459701538086
75,1,1.9634160995483398,2.293123960494995
75,2,1.6159701347351074,2.0226550102233887
75,3,1.586266279220581,1.9498341083526611
75,4,1.5104103088378906,1.9966638088226318
75,5,1.5391201972961426,1.9694769382476807
75,6,1.5888879299163818,1.9470934867858887
75,7,1.6013720035552979,2.01682448387146
75,8,1.5574328899383545,2.2131614685058594
75,9,1.6437232494354248,1.9234747886657715
70,0,1.5300238132476807,1.950922966003418
70,1,1.5419371128082275,1.9550302028656006
70,2,1.5553982257843018,1.963904619216919
70,3,1.5415496826171875,2.0080134868621826
70,4,1.6146435737609863,1.953080415725708
70,5,1.5960578918457031,1.9447391033172607
70,6,1.5323688983917236,1.986494779586792
70,7,1.5968377590179443,1.9477379322052002
70,8,1.6187233924865723,1.992238998413086
70,9,1.5423576831817627,1.9709584712982178
65,0,1.5579450130462646,2.03617000579834
65,1,1.5375216007232666,1.9746360778808594
65,2,1.6291463375091553,2.047976493835449
65,3,1.585031270980835,2.0624537467956543
65,4,1.6039142608642578,2.097215175628662
65,5,1.6179084777832031,2.0868875980377197
65,6,1.6030609607696533,2.021585702896118
65,7,1.6087408065795898,1.9908394813537598
65,8,1.5403308868408203,1.9951376914978027
65,9,1.572993278503418,2.014904499053955
60,0,1.542703628540039,2.025996208190918
60,1,1.5984573364257812,2.0314316749572754
60,2,1.584076166152954,2.039231300354004
60,3,1.527249813079834,2.0125021934509277
60,4,1.616539716720581,2.0585598945617676
60,5,1.6287248134613037,2.0469954013824463
60,6,1.5457468032836914,2.0331602096557617
60,7,1.5258116722106934,2.021092414855957
60,8,1.6010596752166748,2.0074985027313232
60,9,1.6065037250518799,2.015928268432617
55,0,1.615746021270752,2.168386220932007
55,1,1.6153628826141357,2.092947483062744
55,2,1.628777265548706,2.0201714038848877
55,3,1.6128268241882324,2.106302261352539
55,4,1.6140456199645996,2.0254929065704346
55,5,1.5479910373687744,2.1036806106567383
55,6,1.5720882415771484,2.0325047969818115
55,7,1.5519206523895264,2.0526819229125977
55,8,1.5567541122436523,2.0278801918029785
55,9,1.6134977340698242,2.0578720569610596
50,0,1.5734496116638184,2.0450751781463623
50,1,1.5375785827636719,2.0433225631713867
50,2,1.5469799041748047,2.0102992057800293
50,3,1.5509774684906006,2.0434296131134033
50,4,1.6781947612762451,2.0943710803985596
50,5,1.5956454277038574,2.0369246006011963
50,6,1.6238453388214111,2.0648975372314453
50,7,1.5170209407806396,2.0168116092681885
50,8,1.5223758220672607,2.0318660736083984
50,9,1.6080584526062012,2.0247631072998047
45,0,1.5313479900360107,2.0191690921783447
45,1,1.5245411396026611,2.0245182514190674
45,2,1.525024175643921,2.0069081783294678
45,3,1.6147491931915283,2.061394214630127
45,4,1.5815889835357666,2.0244545936584473
45,5,1.5290369987487793,2.0020673274993896
45,6,1.5530102252960205,2.0321731567382812
45,7,1.5463392734527588,2.0281286239624023
45,8,1.568561315536499,2.0225648880004883
45,9,1.5582551956176758,2.0186731815338135
40,0,1.4920310974121094,1.9615895748138428
40,1,1.568953037261963,1.9547693729400635
40,2,1.5736351013183594,1.9703559875488281
40,3,1.483443260192871,1.952056884765625
40,4,1.4853734970092773,1.9598205089569092
40,5,1.559467077255249,1.9926941394805908
40,6,1.5646440982818604,2.01751446723938
40,7,1.616889238357544,2.047374725341797
40,8,1.5422794818878174,1.959545612335205
40,9,1.581827163696289,1.9498488903045654
35,0,1.4831509590148926,1.94675874710083
35,1,1.5742928981781006,2.027125597000122
35,2,1.5550453662872314,2.0015833377838135
35,3,1.486987829208374,2.0066335201263428
35,4,1.5641911029815674,2.0049943923950195
35,5,1.5469088554382324,1.9850261211395264
35,6,1.4947199821472168,1.9232373237609863
35,7,1.5562431812286377,1.9370086193084717
35,8,1.5294547080993652,1.9420809745788574
35,9,1.4621691703796387,1.922607183456421
30,0,1.4914171695709229,1.9364118576049805
30,1,1.5462779998779297,1.9101836681365967
30,2,1.4815728664398193,2.0046844482421875
30,3,1.517486333847046,1.9447567462921143
30,4,1.558671236038208,1.904479742050171
30,5,1.4779682159423828,1.895310878753662
30,6,1.5034306049346924,1.9615957736968994
30,7,1.5349326133728027,1.882946252822876
30,8,1.499300479888916,1.9842054843902588
30,9,1.5378155708312988,1.9533426761627197
25,0,1.4750051498413086,1.8742547035217285
25,1,1.4615418910980225,1.874180793762207
25,2,1.5452196598052979,1.9350221157073975
25,3,1.5459134578704834,1.8746247291564941
25,4,1.458951473236084,1.849264144897461
25,5,1.5068650245666504,1.9164502620697021
25,6,1.5151281356811523,1.9383444786071777
25,7,1.546346664428711,2.01419734954834
25,8,1.515157699584961,1.8611817359924316
25,9,1.4468302726745605,1.9297535419464111
20,0,1.4994535446166992,1.8190672397613525
20,1,1.4005787372589111,1.7853620052337646
20,2,1.4903151988983154,1.850287675857544
20,3,1.5151734352111816,1.7831268310546875
20,4,1.4277255535125732,1.8011269569396973
20,5,1.4247441291809082,1.8339262008666992
20,6,1.5172834396362305,1.9071786403656006
20,7,1.4296767711639404,1.7879085540771484
20,8,1.4410455226898193,1.7787144184112549
20,9,1.4454302787780762,1.8277041912078857
15,0,1.4368178844451904,1.7506792545318604
15,1,1.4330272674560547,1.6867625713348389
15,2,1.3826074600219727,1.788257122039795
15,3,1.4228222370147705,1.7617149353027344
15,4,1.4072942733764648,1.7643702030181885
15,5,1.3786160945892334,1.7219493389129639
15,6,1.4843690395355225,1.7498879432678223
15,7,1.3955402374267578,1.7674646377563477
15,8,1.3655016422271729,1.6905994415283203
15,9,1.3532094955444336,1.745821475982666
10,0,1.3730149269104004,1.654503583908081
10,1,1.3837552070617676,1.614001750946045
10,2,1.3229870796203613,1.5969960689544678
10,3,1.3396503925323486,1.6352193355560303
10,4,1.3855838775634766,1.5898222923278809
10,5,1.3163015842437744,1.5886704921722412
10,6,1.3362512588500977,1.5947470664978027
10,7,1.4397337436676025,1.648644208908081
10,8,1.2911388874053955,1.6521508693695068
10,9,1.3438644409179688,1.6358470916748047
5,0,1.167938470840454,1.4385864734649658
5,1,1.274998664855957,1.5290639400482178
5,2,1.1849303245544434,1.4582266807556152
5,3,1.2059500217437744,1.4754722118377686
5,4,1.1639275550842285,1.4310240745544434
5,5,1.2281100749969482,1.4913041591644287
5,6,1.2149858474731445,1.4716522693634033
5,7,1.2148756980895996,1.4826364517211914
5,8,1.2217774391174316,1.4921784400939941
5,9,1.212531328201294,1.4764437675476074
